id_plot,latitude,longitude,altitude,aspect,MAT,MAP,slope,Forest_types,age,origin,sucstage,area,Root_C_stock,Tree_C_stock,Herb_layer_C_stock,Litter_layer_C_stock,Shrub_layer_C_stock,Total_aboveground_C_stock,Total_soil_C_stock,Total_belowground_C_stock,Total_forest_C_stock,AM_tree_C_stock,EcM_tree_C_stock,species_richness3cm,species_richness10cm,Hii_shannon_diversity3cm,all_tree_number_per_600_3cm,tree_number_area_per_600m2_10cm
ZJ165,29.20918889,119.6496333,949,NW,12.6,1786,20,Mixed_forest,25,planted,middle,600,15.07505372,108.5027187,NA,0.100597046,0.03717875,93.50202243,58.68359136,73.75864508,167.2606675,108.422976,0.079742668,9,4,3.485,139,88
AH22,30.34185833,117.5124194,254,NE,15.3,1514,28,Mixed_forest,56,natural,middle,600,51.53430951,151.7377581,0.063278,0.3787315,0.232233875,100.7311943,59.58151437,111.1158239,211.8470182,7.30053908,144.4372191,9,9,4.116,70,56
SC289,30.68117778,102.7040417,2554,SW,9,868,10,Coniferous_forest,27,natural,middle,600,13.09204796,130.1547367,0.002606438,0.143338334,0.003597084,117.0724893,59.74982034,72.8418683,189.9143576,6.685483808,116.2346693,7,6,3.893,179,94
SC22,31.24642222,102.8863556,3579,SW,3.2,981,20,Coniferous_forest,88,natural,late,600,37.29893407,204.8110078,0.018262156,0.725315841,0.465610685,168.4615573,60.15978709,97.45872116,265.9202784,0.365064548,204.4459433,4,2,2.051,35,29
SC290,30.68229722,102.7054444,2595,SE,9,868,24,Coniferous_forest,30,natural,late,600,11.8394613,119.5776274,0.014749531,0.095115,0.007715834,107.7683472,60.18836755,72.02782884,179.7961761,12.18570765,104.050775,6,6,3.567,157,91
CQ79,30.1725,107.865,880,SW,16.7,1285,25,Broadleaved_forest,10,natural,early,600,0.417141723,2.850481145,0.3342,0.3362,0.4594,3.686339422,60.4294268,60.84656852,64.53290794,NA,2.850481144,1,1,1,65,29
GZ8,25.71138889,108.2178,476,NW,18.4,1288,27,Mixed_forest,65,natural,late,600,8.487346939,131.1269403,0.082855334,0.15092,0.227073125,123.1765949,60.5810298,69.06837674,192.2449716,131.1269403,NA,2,2,1.842,36,22
GZ9,25.71111667,108.2177778,476,NW,18.4,1288,28,Broadleaved_forest,65,natural,late,600,13.84508045,208.2241085,0.088388,0.14014,NA,194.467416,60.5810298,74.42611025,268.8935262,208.2241085,NA,2,2,1.108,56,36
GZ7,25.71139444,108.2180611,476,NW,18.4,1288,27,Mixed_forest,65,natural,late,600,18.70038994,319.83878,0.073656667,0.14014,0.295359375,301.8027654,60.5810298,79.28141974,381.0841852,319.8387799,NA,3,3,2.691,28,19
ZJ188,29.47249444,119.2372472,84,NW,16.7,1529,40,Broadleaved_forest,32,natural,middle,600,3.888448618,33.66352573,NA,0.159218202,NA,29.77507711,60.6261199,64.51456852,94.28964563,10.74578591,22.91773982,6,5,3.635,27,20
